productId,name,cleanName,categoryId,groupId,modifiedOn,imageCount,lowPrice,avgPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType
624675,Destined Rivals Pokemon Center Elite Trainer Box (Exclusive),Destined Rivals Pokemon Center Elite Trainer Box Exclusive,3,24269,2025-05-30 4:10:27,1,232.96,315,9999,252.87,,Normal,,,
624676,Destined Rivals Elite Trainer Box,Destined Rivals Elite Trainer Box,3,24269,2025-05-30 4:10:27,1,89.74,100.5,100000,95.99,,Normal,,,
624678,Destined Rivals Booster Box Case,Destined Rivals Booster Box Case,3,24269,2025-05-30 4:10:27,1,2049.94,2199,10000,1967.71,,Normal,,,
624679,Destined Rivals Booster Box,Destined Rivals Booster Box,3,24269,2025-05-30 4:10:27,1,295,324.98,99999,300.94,,Normal,,,
624681,Destined Rivals Half Booster Box,Destined Rivals Half Booster Box,3,24269,2025-05-30 4:10:27,1,199.95,199.95,199.95,191.99,,Normal,,,
624683,Destined Rivals Booster Pack,Destined Rivals Booster Pack,3,24269,2025-05-30 4:10:27,1,6.65,8.18,20.73,7.72,,Normal,,,
624684,Destined Rivals Sleeved Booster Pack,Destined Rivals Sleeved Booster Pack,3,24269,2025-05-30 4:10:27,1,5.5,9,35,8.09,,Normal,,,
625670,Destined Rivals Booster Bundle,Destined Rivals Booster Bundle,3,24269,2025-05-30 4:10:27,1,40,50,150,47.88,,Normal,,,
625677,Destined Rivals Build & Battle Box,Destined Rivals Build and Battle Box,3,24269,2025-06-13 4:12:26,1,45.5,50.62,79.99,49.95,,Normal,,,
625683,Destined Rivals 3 Pack Blister [Kangaskhan],Destined Rivals 3 Pack Blister Kangaskhan,3,24269,2025-05-30 4:10:27,1,23.99,31.99,49.27,26.75,,Normal,,,
625684,Destined Rivals 3 Pack Blister [Zebstrika],Destined Rivals 3 Pack Blister Zebstrika,3,24269,2025-05-30 4:10:27,1,22.49,31.91,48.84,25.53,,Normal,,,
625687,Destined Rivals Premium Checklane Blister [Skeledirge],Destined Rivals Premium Checklane Blister Skeledirge,3,24269,2025-05-30 4:10:27,1,20.73,20.73,20.73,17.42,,Normal,,,
625688,Destined Rivals Premium Checklane Blister [Togekiss],Destined Rivals Premium Checklane Blister Togekiss,3,24269,2025-05-30 4:10:27,1,17,19.99,22.98,19.58,,Normal,,,
628395,Destined Rivals Premium Checklane Blister [Gastrodon],Destined Rivals Premium Checklane Blister Gastrodon,3,24269,2025-05-30 4:10:27,1,14.42,14.71,15,14.42,,Normal,,,
628396,Destined Rivals Premium Checklane Blister [Rabsca],Destined Rivals Premium Checklane Blister Rabsca,3,24269,2025-05-30 4:10:27,1,10,14.93,18.45,13.47,,Normal,,,
628398,Destined Rivals Elite Trainer Box Case,Destined Rivals Elite Trainer Box Case,3,24269,2025-05-30 4:10:27,1,960,1149,1449.49,929.21,,Normal,,,
628413,Destined Rivals Sleeved Booster Case,Destined Rivals Sleeved Booster Case,3,24269,2025-05-30 4:10:27,1,1279.39,1287.69,1295.99,1271.07,,Normal,,,
628428,Destined Rivals Booster Bundle Case,Destined Rivals Booster Bundle Case,3,24269,2025-05-30 4:10:27,1,1199.99,1276.3,1716.99,1267.78,,Normal,,,
630803,Cynthia's Roselia,Cynthias Roselia,3,24269,2025-07-14 12:09:58,1,0.01,0.15,5.01,0.11,0.1,Normal,007/182,Common,Grass
630803,Cynthia's Roselia,Cynthias Roselia,3,24269,2025-07-14 12:09:58,1,0.19,0.59,5.2,0.56,,Reverse Holofoil,007/182,Common,Grass
630804,Cynthia's Roserade,Cynthias Roserade,3,24269,2025-07-14 12:09:58,1,0.01,0.6,5.2,0.56,0.53,Reverse Holofoil,008/182,Rare,Grass
630804,Cynthia's Roserade,Cynthias Roserade,3,24269,2025-07-14 12:09:58,1,0.02,0.25,44,0.28,0.28,Holofoil,008/182,Rare,Grass
630805,Smoliv,Smoliv,3,24269,2025-07-14 12:10:06,1,0.01,0.1,20,0.09,0.06,Normal,021/182,Common,Grass
630805,Smoliv,Smoliv,3,24269,2025-07-14 12:10:06,1,0.03,0.17,20,0.14,0.13,Reverse Holofoil,021/182,Common,Grass
630806,Dolliv,Dolliv,3,24269,2025-07-14 12:09:59,1,0.01,0.1,20,0.09,0.09,Normal,022/182,Common,Grass
630806,Dolliv,Dolliv,3,24269,2025-07-14 12:09:59,1,0.01,0.16,5.04,0.14,0.14,Reverse Holofoil,022/182,Common,Grass
630807,Arboliva ex,Arboliva ex,3,24269,2025-07-14 12:09:56,1,0.25,0.71,5,0.63,0.7,Holofoil,023/182,Double Rare,Grass
630808,Team Rocket's Moltres ex,Team Rockets Moltres ex,3,24269,2025-07-14 12:10:11,1,0.3,0.84,9.69,0.75,0.85,Holofoil,031/182,Double Rare,Fire
630809,Ethan's Typhlosion,Ethans Typhlosion,3,24269,2025-07-14 12:10:00,1,0.4,1.2,7.99,1.36,,Reverse Holofoil,034/182,Rare,Fire
630809,Ethan's Typhlosion,Ethans Typhlosion,3,24269,2025-07-14 12:10:00,1,0.01,0.54,69,0.74,0.73,Holofoil,034/182,Rare,Fire
630810,Ethan's Slugma,Ethans Slugma,3,24269,2025-07-14 12:10:00,1,0.01,0.1,20,0.06,0.06,Normal,035/182,Common,Fire
630810,Ethan's Slugma,Ethans Slugma,3,24269,2025-07-14 12:10:00,1,0.02,0.18,4.95,0.12,0.11,Reverse Holofoil,035/182,Common,Fire
630811,Ethan's Magcargo,Ethans Magcargo,3,24269,2025-07-14 12:10:00,1,0.01,0.16,20,0.1,0.1,Holofoil,036/182,Rare,Fire
