productId,name,cleanName,categoryId,groupId,modifiedOn,imageCount,lowPrice,avgPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType
630429,Black Bolt  Binder Collection Case,Black Bolt Binder Collection Case,3,24325,2025-07-18 4:33:22,1,310,335.59,619.22,327,,Normal,,,
630430,Black Bolt Binder Collection,Black Bolt Binder Collection,3,24325,2025-07-18 4:33:22,1,46.45,54.59,300,50.16,,Normal,,,
630431,Black Bolt Booster Bundle,Black Bolt Booster Bundle,3,24325,2025-05-07 19:09:59,1,61.49,61.63,79.96,63.46,,Normal,,,
630432,Black Bolt Booster Bundle Case,Black Bolt Booster Bundle Case,3,24325,2025-06-24 13:36:29,1,1999.99,2000.04,2000.09,1832.46,,Normal,,,
630433,Black Bolt Booster Bundle Display,Black Bolt Booster Bundle Display,3,24325,2025-06-24 13:40:29,1,,,,,,,,,
630434,Black Bolt Booster Pack,Black Bolt Booster Pack,3,24325,2025-07-18 4:33:22,1,8.96,10,15.96,8.84,,Normal,,,
630438,Unova Mini Tin [Garbodor & Amoonguss],Unova Mini Tin Garbodor and Amoonguss,3,24325,2025-07-18 4:33:22,1,19.99,22.5,33.29,21.54,,Normal,,,
630439,Unova Mini Tin [Chandelure & Zorua],Unova Mini Tin Chandelure and Zorua,3,24325,2025-07-18 4:33:22,1,20,22.19,39.99,21.9,,Normal,,,
630440,Unova Mini Tin [Krookodile & Excadrill],Unova Mini Tin Krookodile and Excadrill,3,24325,2025-07-18 4:33:22,1,17.89,21.98,29.99,21.62,,Normal,,,
630441,Unova Mini Tin [Volcarona & Emolga],Unova Mini Tin Volcarona and Emolga,3,24325,2025-07-18 4:33:22,1,15,23,40,22.11,,Normal,,,
630442,Unova Mini Tin [Lilligant & Whimsicot],Unova Mini Tin Lilligant and Whimsicot,3,24325,2025-07-18 4:33:22,1,18.99,21.21,40,19.63,,Normal,,,
630443,Unova Mini Tin [Mienshao & Klinklang],Unova Mini Tin Mienshao and Klinklang,3,24325,2025-07-18 4:33:22,1,15,22,33.29,22.5,,Normal,,,
630444,Unova Mini Tin [Alomomola & Axew],Unova Mini Tin Alomomola and Axew,3,24325,2025-07-18 4:33:22,1,15,22.15,39.99,20.43,,Normal,,,
630445,Unova Mini Tin [Elektross & Galvantula],Unova Mini Tin Elektross and Galvantula,3,24325,2025-07-18 4:33:22,1,19.99,22,40,20.43,,Normal,,,
630446,Unova Mini Tin Display,Unova Mini Tin Display,3,24325,2025-07-18 4:33:22,1,142.95,162.48,284.99,137.46,,Normal,,,
630447,Unova Mini Tin Display Case,Unova Mini Tin Display Case,3,24325,2025-07-18 4:33:22,1,614.95,618.98,799.95,626.62,,Normal,,,
630612,Unova Poster Collection,Unova Poster Collection,3,24325,2025-07-18 4:33:22,1,22.09,33.72,90,30.2,,Normal,,,
630613,Unova Poster Collection Case,Unova Poster Collection Case,3,24325,2025-07-25 4:12:38,1,193.85,199.49,269.65,194.97,,Normal,,,
630614,Black Bolt Tech Sticker Collection,Black Bolt Tech Sticker Collection,3,24325,2025-08-01 4:11:18,1,23.99,28.98,150,25.96,,Normal,,,
630615,Unova Victini Illustration Collection,Unova Victini Illustration Collection,3,24325,2025-08-01 4:11:18,1,28,41.51,300,37.52,,Normal,,,
630686,Black Bolt Elite Trainer Box,Black Bolt Elite Trainer Box,3,24325,2025-07-18 4:33:22,1,82.6,94.95,600,86.89,,Normal,,,
630687,Black Bolt Pokemon Center Elite Trainer Box (Exclusive),Black Bolt Pokemon Center Elite Trainer Box Exclusive,3,24325,2025-07-18 4:33:22,1,173,245,9999,175.97,,Normal,,,
630690,Black Bolt Elite Trainer Box Case,Black Bolt Elite Trainer Box Case,3,24325,2025-07-18 4:33:22,1,980,1149.49,1649.99,935.43,,Normal,,,
630691,Black Bolt Pokemon Center Elite Trainer Box (Exclusive) Case,Black Bolt Pokemon Center Elite Trainer Box Exclusive Case,3,24325,2025-07-18 4:33:22,1,,,,,,,,,
642180,Klink,Klink,3,24325,2025-07-18 17:02:18,1,0.01,0.1,4.99,0.05,0.03,Normal,061/086,Common,Metal
642180,Klink,Klink,3,24325,2025-07-18 17:02:18,1,0.05,0.25,4.99,0.23,0.21,Reverse Holofoil,061/086,Common,Metal
