productId,name,cleanName,categoryId,groupId,modifiedOn,imageCount,lowPrice,avgPrice,highPrice,marketPrice,directLowPrice,subTypeName,extNumber,extRarity,extCardType
630688,White Flare Pokemon Center Elite Trainer Box (Exclusive),White Flare Pokemon Center Elite Trainer Box Exclusive,3,24326,2025-07-18 4:33:22,1,150,199.62,9999,160.12,,Normal,,,
630689,White Flare Elite Trainer Box,White Flare Elite Trainer Box,3,24326,2025-07-18 4:33:22,1,78,90,600,81.95,,Normal,,,
630692,White Flare Pokemon Center Elite Trainer Box (Exclusive) Case,White Flare Pokemon Center Elite Trainer Box Exclusive Case,3,24326,2025-07-18 4:33:22,1,,,,,,,,,
630693,White Flare Elite Trainer Box Case,White Flare Elite Trainer Box Case,3,24326,2025-07-18 4:33:22,1,979.97,1122.88,1980,930.45,,Normal,,,
630694,White Flare  Binder Collection Case,White Flare Binder Collection Case,3,24326,2025-07-18 4:33:22,1,280,289.69,594.24,295.94,,Normal,,,
630695,White Flare Binder Collection,White Flare Binder Collection,3,24326,2025-07-18 4:33:22,1,45,53,300,50.53,,Normal,,,
630696,White Flare Booster Bundle,White Flare Booster Bundle,3,24326,2025-07-02 17:39:29,1,62.39,63.23,79.96,63.07,,Normal,,,
630697,White Flare Booster Bundle Case,White Flare Booster Bundle Case,3,24326,2025-06-24 13:42:54,1,1775,1775.1,1799.99,1837.72,,Normal,,,
630698,White Flare Booster Bundle Display,White Flare Booster Bundle Display,3,24326,2025-06-24 13:43:08,1,,,,,,,,,
630699,White Flare Booster Pack,White Flare Booster Pack,3,24326,2025-07-18 4:33:22,1,8.25,8.99,15,8.28,,Normal,,,
630700,White Flare Tech Sticker Collection,White Flare Tech Sticker Collection,3,24326,2025-08-01 4:11:18,1,21.99,29.34,150,25.99,,Normal,,,
642116,Sewaddle,Sewaddle,3,24326,2025-07-18 17:53:45,1,0.03,0.17,4.99,0.17,0.13,Reverse Holofoil,001/086,Common,Grass
642116,Sewaddle,Sewaddle,3,24326,2025-07-18 17:53:45,1,0.01,0.1,4.99,0.07,0.04,Normal,001/086,Common,Grass
642117,Swadloon,Swadloon,3,24326,2025-07-18 17:53:46,1,0.01,0.1,4.99,0.09,0.07,Normal,002/086,Common,Grass
642117,Swadloon,Swadloon,3,24326,2025-07-18 17:53:46,1,0.05,0.19,4.99,0.18,0.17,Reverse Holofoil,002/086,Common,Grass
642118,Leavanny,Leavanny,3,24326,2025-07-18 17:53:46,1,0.02,0.13,4.99,0.12,0.09,Normal,003/086,Uncommon,Grass
642118,Leavanny,Leavanny,3,24326,2025-07-18 17:53:46,1,0.1,0.25,4.99,0.2,,Reverse Holofoil,003/086,Uncommon,Grass
642119,Cottonee,Cottonee,3,24326,2025-07-18 17:53:47,1,0.02,0.2,4.99,0.19,0.1,Reverse Holofoil,004/086,Common,Grass
642119,Cottonee,Cottonee,3,24326,2025-07-18 17:53:47,1,0.01,0.1,4.99,0.06,,Normal,004/086,Common,Grass
642120,Whimsicott ex,Whimsicott ex,3,24326,2025-07-18 19:02:22,1,0.1,0.5,4.99,0.43,,Holofoil,005/086,Double Rare,Grass
642121,Deerling,Deerling,3,24326,2025-07-18 17:53:47,1,0.02,0.15,4.99,0.11,,Reverse Holofoil,006/086,Common,Grass
642121,Deerling,Deerling,3,24326,2025-07-18 17:53:47,1,0.01,0.1,4.99,0.08,0.05,Normal,006/086,Common,Grass
642122,Sawsbuck,Sawsbuck,3,24326,2025-07-18 17:53:47,1,0.01,0.1,4.99,0.09,0.05,Normal,007/086,Uncommon,Grass
642122,Sawsbuck,Sawsbuck,3,24326,2025-07-18 17:53:47,1,0.1,0.26,4.99,0.26,,Reverse Holofoil,007/086,Uncommon,Grass
642123,Shelmet,Shelmet,3,24326,2025-07-18 17:53:48,1,0.04,0.2,4.99,0.15,0.14,Reverse Holofoil,008/086,Common,Grass
642123,Shelmet,Shelmet,3,24326,2025-07-18 17:53:48,1,0.01,0.1,4.99,0.06,0.05,Normal,008/086,Common,Grass
642124,Accelgor,Accelgor,3,24326,2025-07-18 17:53:48,1,0.02,0.1,4.99,0.06,0.06,Normal,009/086,Uncommon,Grass
642124,Accelgor,Accelgor,3,24326,2025-07-18 17:53:48,1,0.2,0.5,4.99,0.43,,Reverse Holofoil,009/086,Uncommon,Grass
642125,Virizion,Virizion,3,24326,2025-07-18 17:53:49,1,0.01,0.13,4.99,0.11,0.1,Holofoil,010/086,Rare,Grass
642125,Virizion,Virizion,3,24326,2025-07-18 17:53:49,1,0.05,0.25,4.99,0.22,0.22,Reverse Holofoil,010/086,Rare,Grass
642126,Tepig,Tepig,3,24326,2025-07-18 17:53:49,1,0.01,0.12,4.99,0.09,0.08,Normal,011/086,Common,Fire
642126,Tepig,Tepig,3,24326,2025-07-18 17:53:49,1,0.03,0.2,4.99,0.17,0.15,Reverse Holofoil,011/086,Common,Fire
642127,Pignite,Pignite,3,24326,2025-07-18 17:53:50,1,0.13,0.24,4.99,0.21,,Reverse Holofoil,012/086,Common,Fire
642127,Pignite,Pignite,3,24326,2025-07-18 17:53:50,1,0.01,0.15,4.99,0.1,0.09,Normal,012/086,Common,Fire
642128,Emboar,Emboar,3,24326,2025-07-18 17:53:50,1,0.15,0.45,4.99,0.37,,Reverse Holofoil,013/086,Rare,Fire
642128,Emboar,Emboar,3,24326,2025-07-18 17:53:50,1,0.01,0.2,4.99,0.16,0.12,Holofoil,013/086,Rare,Fire
642129,Pansear,Pansear,3,24326,2025-07-18 17:53:50,1,0.01,0.1,4.99,0.05,0.05,Normal,014/086,Common,Fire
642129,Pansear,Pansear,3,24326,2025-07-18 17:53:50,1,0.05,0.2,4.99,0.17,0.17,Reverse Holofoil,014/086,Common,Fire
642130,Simisear,Simisear,3,24326,2025-07-18 17:53:51,1,0.05,0.26,4.99,0.24,,Reverse Holofoil,015/086,Uncommon,Fire
